State,V(πcμ),V(π*),V(πc)
00000,222.8095238095238,222.8095238095238,283.2857142857143
00001,61.95238095238095,61.95238095238095,63.28571428571429
00010,195.0,195.0,248.33333333333334
00011,47.0,47.0,48.333333333333336
00100,150.8095238095238,150.8095238095238,179.95238095238096
00101,19.952380952380953,19.952380952380953,19.952380952380953
00110,129.66666666666669,129.66666666666669,151.66666666666666
00111,11.666666666666666,11.666666666666666,11.666666666666666
01000,178.8095238095238,178.8095238095238,215.95238095238096
01001,35.95238095238095,35.95238095238095,35.95238095238095
01010,155.0,155.0,185.0
01011,25.000000000000004,25.000000000000004,25.000000000000004
01100,118.80952380952381,118.80952380952381,125.95238095238095
01101,5.9523809523809526,5.9523809523809526,5.9523809523809526
01110,101.66666666666667,101.66666666666667,101.66666666666667
01111,1.6666666666666667,1.6666666666666667,1.6666666666666667
10000,204.3809523809524,204.3809523809524,264.8571428571429
10001,53.523809523809526,53.523809523809526,54.85714285714286
10010,178.0,178.0,231.33333333333334
10011,40.0,40.0,41.333333333333336
10100,135.71428571428572,135.71428571428572,164.85714285714286
10101,14.857142857142858,14.857142857142858,14.857142857142858
10110,116.0,116.0,138.0
10111,8.0,8.0,8.0
11000,162.3809523809524,162.3809523809524,199.52380952380952
11001,29.523809523809526,29.523809523809526,29.523809523809526
11010,140.0,140.0,170.0
11011,20.0,20.0,20.0
11100,105.71428571428572,105.71428571428572,112.85714285714286
11101,2.857142857142857,2.857142857142857,2.857142857142857
11110,90.0,90.0,90.0
11111,0.0,0.0,0.0
